Year,Film,Role,Notes
1984,Vetri,Vijay,Child Actor
1984,Kudumbam,Narada,Child Actor
1985,Naan Sigappu Manithan,Unnamed,Child Actor
1986,Vasantha Raagam,Vijay,Child Actor
1987,Sattam Oru Vilayattu,Raja,Child Actor
1988,Ithu Engal Neethi,Vijay,Child Actor
1992,Naalaiya Theerpu,Vijay,Debut Film as Lead Actor
1993,Senthoorapandi,Vijay,
1994,Rasigan,Vijay,
1995,Deva,Deva,
1995,Rajavin Parvaiyile,Raja,
1995,Vishnu,Vishnu (Krishna)[a],
1995,Chandralekha,Rahim Rowther,
1996,Coimbatore Mappillai,Balu,
1996,Poove Unakkaga,Raja,
1996,Vasantha Vaasal,Vijay,
1996,Maanbumigu Maanavan,Sivaraj,
1996,Selva,Selvan,
1997,Kaalamellam Kaathiruppen,Kannan,
1997,Love Today,Ganesh,
1997,Once More,Vijay,
1997,Nerrukku Ner,Vijay,
1997,Kadhalukku Mariyadhai,Jeevanandham (Jeeva),
1998,Ninaithen Vandhai,Gokulakrishnan,
1998,Priyamudan,Vasanth,
1998,Nilaave Vaa,Siluvai,
1999,Thullatha Manamum Thullum,Kutty,
1999,Endrendrum Kadhal,Vijay,
1999,Nenjinile,Karunakaran (Karna),
1999,Minsara Kanna,Kannan (Kasi)[a],
2000,Kannukkul Nilavu,Gautham Prabhakar,25th film
2000,Kushi,Shiva,
2000,Priyamaanavale,Vijay Vishwanathan,
2001,Friends,Aravindhan,
2001,Badri,Sri Badrinatha Moorthy (Badri),
2001,Shahjahan,Ashok,
2002,Thamizhan,C. J. Surya,
2002,Youth,Shiva,
2002,Bagavathi,Bhagavathi,
2003,Vaseegara,Boopathi,
2003,Pudhiya Geethai,Sarathy,
2003,Thirumalai,Thirumalai,
2004,Udhaya,Udhayakumaran (Udhaya),
2004,Ghilli,"Saravanavelu (Velu, Ghilli)[a]",
2004,Madhurey,Maduravel (Madhurey),
2005,Thirupaachi,Sivagiri (Giri),
2005,Sukran,Sukran,Extended cameo
2005,Sachein,Sachein,
2005,Sivakasi,Muthappa (Sivakasi)[a],
2006,Aathi,Aathikesavan,
2007,Pokkiri,Sathyamoorthy (Thamizh)[a],
2007,Azhagiya Tamil Magan,"Guru, Prasad[b]",
2008,Kuruvi,"Vetrivel (Velu, Kuruvi)",
2008,Pandhayam,Himself,Guest appearance
2009,Villu,"Pugazh, Saravanan[b]",
2009,Vettaikaaran,"""Police"" Ravi",
2010,Sura,Sura,50th film
2011,Kaavalan,Bhoominathan,
2011,Velayudham,Velu (Velayudham),
2012,Nanban,Kosaksi Pasapugazh (Panchavan Parivendan)[a],
2012,Rowdy Rathore,Himself,"Hindi film; Guest appearance in the song ""Chinta Ta"""
2012,Thuppakki,Jagadish Dhanapal,
2013,Thalaivaa,Vishwa Ramadorai (Vishwa Bhai),
2014,Jilla,DCP Shakthi Aarumugam,
2014,Kaththi,"Kathiresan (Kaththi), Jeevanandham[b]",
2015,Puli,"Marudheeran, Pulivendhan[b]",
2016,Theri,"A. Vijay Kumar (Joseph Kuruvilla, Dharmeshwar)[a]",
2017,Bairavaa,Bairavaa,
2017,Mersal,"Vetri, Maaran, Vetrimaaran[c]",
2018,Sarkar,Sundar Ramaswamy,
2019,Bigil,"Michael Rayappan (Bigil), Rayappan[b]",
2021,Master,JD (John Durairaj),
2022,Beast,Veera Raghavan,
2023,Varisu,Vijay Rajendran,
2023,Leo,Parthiban/Leo Das,
2024,The Greatest Of All Time,"M.S. Gandhi, Jeevan Gandhi (Sanjay Menon) [b]",
2026,Jana Nayagan â€ ,Thalapathy Vetri Kondan,Completed; Release Postponed due to Certification Issues by CBFC.
